TransactionID,DeviceType,DeviceInfo,id_01,id_02,id_03,id_04,id_05,id_06,id_07,id_08,id_09,id_10,id_11
1053439,mobile,Infinix,-1.5874,,,,,,-0.3945,,0.0552,,0.5007
1090790,mobile,,,0.9804,,0.5006,0.3113,-0.6391,-0.2811,-1.1833,,,0.2216
1000527,desktop,Huawei,1.1109,-1.0206,,,-0.2576,0.0434,,,,1.0354,
1090969,desktop,Linux,,-1.0337,-1.063,-0.6557,,,-0.7028,2.3929,-1.35,,
1084284,mobile,Xiaomi,-0.6866,,-0.9909,,0.2304,1.1316,,,-0.5254,,-0.8239
1067984,mobile,,-1.252,1.0343,-0.6952,,0.6106,,2.1142,0.1849,,-0.444,
1085049,mobile,Huawei,-0.3181,-0.1168,,,0.5592,0.3307,-1.0683,,,,0.2413
1111037,mobile,Tecno,-0.0492,1.9439,-0.2175,,,-0.4738,1.7044,0.673,0.9825,0.9102,0.6337
1095497,mobile,rv:11.0,-0.3643,1.4191,,2.0691,,-0.447,-0.3765,-0.1541,0.7755,,0.2939
1108568,desktop,Xiaomi,0.4836,1.5506,0.4356,-1.0907,1.2478,-0.9096,,0.2468,,0.925,2.1725
1082381,mobile,Xiaomi,1.0551,0.323,,1.6525,0.3881,,0.9395,-0.0281,,,1.9484
1028427,mobile,rv:11.0,-1.3019,0.9878,-0.2405,-0.3701,,0.8669,-0.9213,,-0.2874,,0.0502
1056165,mobile,Pixel,0.2524,,-0.4514,-1.8857,1.7423,-0.2403,,-0.3181,-0.5226,,1.1715
1082196,mobile,Xiaomi,1.0946,-1.2806,0.1813,0.8197,-0.1567,0.2748,,,0.29,0.9421,
1014222,mobile,SM-G973F,0.2481,-1.1173,1.524,-0.8737,,,1.3006,,,,
1139495,mobile,Windows,,-0.6511,,0.5609,-1.2414,,0.3824,-0.007,,,
1135680,mobile,Pixel,-0.2933,0.1889,0.1474,0.2337,,0.8584,1.4192,,,,-0.0712
1155113,mobile,Pixel,-1.2133,-1.5576,1.1542,-0.1901,,,,,,1.3568,
1067419,desktop,Tecno,0.1498,0.2377,-0.0007,,1.3994,0.8235,,,-0.7792,0.4847,-2.5545
1040452,desktop,Xiaomi,0.8529,0.0833,0.8259,,-0.5356,,0.128,,-0.1553,,
1009602,mobile,Trident/7.0,-0.1693,,-0.4806,-0.8543,0.3571,-0.9463,0.3977,-1.0612,2.0036,-0.1224,
1081875,mobile,Pixel,0.6859,0.0987,1.4485,,,0.5719,-1.3903,,,,-0.3716
1077247,mobile,,1.1951,-1.0155,-0.2461,-0.1249,2.6135,-1.0553,1.1354,,-0.2342,1.068,
1129600,mobile,rv:11.0,1.8984,0.5963,0.3147,1.1599,-1.0288,1.7831,-0.6231,-0.6325,,,-0.7281
1140765,mobile,Huawei,1.4696,0.6433,0.1873,,,0.4256,0.9116,1.1208,1.826,,0.2189
1069575,mobile,Infinix,1.2001,-1.0077,0.0594,,,,0.9336,,1.2725,-0.3053,-0.0024
1040100,mobile,samsung,0.5584,,,,,,0.2012,,-1.4535,,-0.4524
1124231,desktop,,-1.4864,-0.396,,-1.3404,-0.2918,,-0.2278,-0.6826,-2.2283,1.5726,
1085605,desktop,MacOS,1.0259,0.161,0.7146,,-0.2315,,0.7959,0.3592,1.0954,-0.9288,-0.3032
1040183,mobile,MacOS,-0.285,,,-2.6268,,-1.9174,,-0.0578,,-0.9052,0.2503
1157625,mobile,Pixel,0.316,-0.3086,,0.1626,0.7778,-0.2062,,,,-0.5232,
1129265,mobile,Infinix,-0.0187,,0.9442,1.5368,0.8844,0.3606,,-0.3182,,,
1121741,desktop,Infinix,1.3489,1.7668,1.0742,0.3794,1.3881,,,,,0.97,-0.9784
1006320,mobile,rv:11.0,-1.027,-0.2458,1.1104,0.0029,0.0549,,,0.0265,-2.5526,,
1142660,mobile,SM-G973F,,-1.2924,-1.3082,0.9735,3.2865,1.878,1.8904,0.4471,,,0.8855
1023099,desktop,Linux,0.7268,0.7151,,,-1.5936,-1.3715,,,0.1842,0.5536,
1011551,mobile,rv:11.0,,-2.4385,1.1106,,-0.8354,-0.8556,-0.8728,0.0281,-2.4314,,0.279
1144089,mobile,Pixel,,0.2412,,-0.0589,0.9571,0.1764,0.5724,1.0999,,,-1.2436
1062144,desktop,samsung,-0.6793,0.7617,-1.2068,1.5541,1.1193,1.1377,0.4441,,,0.12,-0.0409
1010132,desktop,Windows,-1.1072,-0.0339,-1.9124,-2.083,,,,,,0.3051,-0.7056
1009735,mobile,Xiaomi,-1.7095,1.4257,-0.5474,-0.9129,1.2128,,-0.4824,-1.6237,,,
1093098,mobile,Linux,,,,,,,,0.2184,,-0.5946,
1097029,mobile,SM-G973F,0.4013,,,0.6861,0.6279,,-0.2573,,,0.6544,
1122415,desktop,iOS Device,-1.8121,1.4075,-0.173,-0.572,0.2825,,0.7397,,-0.3424,-0.6372,1.4295
1025455,mobile,Tecno,-0.0305,-0.0361,-0.5879,1.624,2.2321,-1.0296,-0.7397,,-1.2268,,0.0661
1019740,mobile,MacOS,,-1.183,0.0342,-0.3105,-0.0103,-0.0821,,,-0.9987,,-1.0303
1050170,mobile,iOS Device,1.5862,1.9385,-1.7225,,0.5762,2.0071,0.3553,-1.5979,,-1.0625,
1141332,desktop,Windows,-1.1835,0.7167,-0.8,-0.383,1.5577,,-1.7896,-0.7362,0.3688,,0.7259
1073778,mobile,MacOS,0.5285,,-0.6047,0.1381,-3.0231,-0.6965,-0.169,,,1.3505,1.8472
1132607,mobile,Tecno,-0.7191,0.3974,,-0.3423,0.0276,-1.4946,2.2003,-1.3503,,-0.9344,0.0872
1058591,desktop,,-0.8234,0.8755,,-0.6082,2.0813,-0.5999,-2.1421,,-1.0935,0.2758,
1139822,mobile,,1.9082,,,-1.1952,-0.4408,,0.231,,,0.2821,
1041815,mobile,MacOS,-0.0092,0.4455,-0.9851,,-0.3974,-0.5852,,0.1245,1.6761,,
1008866,mobile,Trident/7.0,,-1.3247,-0.3113,-0.7719,0.1535,-0.3935,,,,,1.2909
1021588,mobile,Huawei,0.1601,,-1.0219,1.1777,-2.4885,0.6366,,-0.6555,-1.0425,,
1105305,mobile,rv:11.0,0.3625,-0.8542,0.0109,-0.1012,,,0.5463,-0.8086,,-0.8643,
1034303,desktop,rv:11.0,1.2861,-1.5707,,0.6364,-1.3683,,,,,,0.1313
1047862,mobile,Infinix,0.1278,,0.895,0.6976,-1.3239,,-0.2224,,-0.7078,-1.0889,
1009413,mobile,Infinix,1.5681,-0.4423,,0.0664,-0.6378,,,-0.8542,-1.3364,1.8334,0.2868
1138715,mobile,samsung,,,,-0.3155,,,-0.3786,,0.2953,,
1029891,mobile,Infinix,1.4197,0.3231,,-0.2182,-0.4441,,0.645,,0.0231,,
1032370,mobile,Xiaomi,,-0.0318,,,0.1082,0.1754,0.734,-0.5427,,-1.0552,
1117082,mobile,samsung,-0.1134,-1.301,0.3697,,,,0.412,,0.8302,,-0.2991
1065865,mobile,Infinix,-1.6046,,,,-0.5796,,1.8929,1.8978,-1.6639,,
1134896,mobile,Xiaomi,1.3641,3.2774,-1.4132,,0.5991,-0.457,,,1.0877,,
1107626,mobile,Xiaomi,0.6859,1.2684,-2.5046,,0.2595,0.9176,0.3496,,0.739,,-0.8735
1159664,mobile,Linux,,,,,0.5834,-0.8466,0.9349,,,,
1033312,mobile,Xiaomi,-0.826,0.2535,0.8037,1.2391,0.7878,,,,0.9075,-0.1393,-1.6579
1058614,mobile,Trident/7.0,,-0.3771,,-0.3345,-3.1127,,2.1581,0.872,,1.0366,-1.3531
1066876,mobile,iOS Device,,,-0.0006,-0.0871,1.6247,,,,,,
1085307,mobile,rv:11.0,,,0.9909,,-0.634,,1.0128,-0.1793,0.3742,-0.8345,
1050248,mobile,,0.245,1.4261,-0.4773,1.3219,,-0.9726,0.1515,0.2539,-0.1108,0.828,
1102175,mobile,,-1.5291,-0.3431,-0.434,-0.7061,-2.2068,,-0.3445,,,,1.2134
1033071,mobile,SM-G973F,0.3255,-1.2807,-1.538,,0.1958,-0.6413,-1.4067,-1.6914,,,
1067211,desktop,Xiaomi,-2.8334,0.266,2.0653,0.3622,,,-0.4249,1.5492,,,
1141954,mobile,Linux,,,-1.1312,1.9708,0.9719,0.9715,,,0.5702,,
1052458,mobile,Tecno,0.5947,0.4767,0.2479,-1.2664,1.027,0.1774,0.2349,,,,
1011169,mobile,Windows,1.4304,-0.6754,0.5654,-0.6458,-0.8751,,,-0.5606,2.1974,0.084,
1116000,mobile,,0.0684,2.9936,,,,1.0627,0.7558,,,,0.4531
1011853,mobile,,1.3309,-0.7403,-0.4556,-0.4317,1.4313,0.2589,-0.1508,,-0.4709,-0.8713,-0.7385
1037036,desktop,Linux,1.8191,0.188,-0.2228,-1.2727,,,-0.7024,,0.5126,0.1065,-0.1546
1023555,mobile,rv:11.0,-0.2013,0.8891,0.1258,0.4184,,,-0.3345,1.4628,,-0.1273,-0.2069
1142204,desktop,Trident/7.0,0.1294,1.5938,0.2348,2.0507,1.8987,,,2.5187,,-0.0096,
1048317,mobile,iOS Device,,0.3817,,0.4961,,,,-1.1434,,,
1151787,mobile,Infinix,0.1283,-0.4659,-0.8394,,,,,-1.38,,,-0.0001
1007913,mobile,Linux,-0.5883,-0.448,-1.6062,-0.7045,0.2965,-1.1504,0.3123,,1.435,,
1137564,mobile,Huawei,1.4009,0.8658,,-0.0182,-1.2373,-0.3033,-0.1083,-0.6252,,0.2679,
1045702,mobile,Xiaomi,1.2915,0.5323,0.985,-0.1808,,,0.0545,-0.5819,0.3556,-0.7782,
1059127,mobile,,-0.1292,1.0883,0.7467,-0.1712,,,,,,1.1661,0.3184
1146378,desktop,Pixel,0.3764,1.9032,-0.1937,,0.095,-0.9767,-0.0897,0.3449,,1.5533,0.4601
1058672,mobile,Windows,,,,0.8107,,-1.2432,,0.3378,1.0604,-0.3425,0.1137
1153353,mobile,SM-G973F,-0.799,,,-0.9643,-0.0586,0.6253,0.0704,,1.6953,0.8446,2.3986
1133625,mobile,SM-G973F,1.7137,0.578,,-0.9529,,,-0.11,,,-0.9815,-0.7083
1132566,mobile,Windows,-1.5395,-1.5283,-0.5552,0.5395,-1.1045,,-0.5826,0.1681,0.1657,,
1131000,mobile,Huawei,-0.4482,-1.2907,0.3163,0.1301,0.1711,,0.8328,-1.1356,-1.2149,,-1.2627
1121818,mobile,MacOS,,-0.7505,1.009,0.4424,-0.9603,,0.2541,,0.5931,,1.5923
1153770,mobile,Infinix,-0.4048,,-0.9516,,,,1.0801,,,-0.8902,0.8357
1115126,mobile,MacOS,0.138,-1.2795,,,0.123,,,0.1552,-2.6568,,
1025557,mobile,,-2.0255,-1.2041,0.07,,-0.6572,-0.0643,-0.3943,,0.5521,,-0.7062
1008200,mobile,Trident/7.0,,-0.3827,,-1.9078,1.0581,0.0072,-1.0732,,-0.0646,,
1158051,mobile,Huawei,,-1.781,,,-0.6978,,0.2636,,-0.6407,0.7812,
1143095,mobile,rv:11.0,0.5071,0.371,1.1155,,1.0795,0.9036,,,3.1701,,-0.1064
1048986,mobile,,0.1099,-0.9209,-1.1973,-0.0249,,,,-0.1574,,1.5984,0.3729
1066846,mobile,,,1.3342,-0.0044,0.5262,-1.802,-0.8573,1.1111,,-1.0943,,
1101085,desktop,Windows,0.9723,-0.6794,,,-0.1084,,-0.795,,0.7262,,
1096058,mobile,iOS Device,-0.9824,,,,-0.5121,-0.8653,,-0.3636,-0.2554,0.5814,
1157928,mobile,Linux,1.2419,-0.5587,0.7527,0.3528,,0.7529,,,,1.8609,1.0919
1015989,desktop,Infinix,,,,-0.4411,-1.7793,,-1.0682,-0.8089,,0.9934,
1093614,mobile,,,-0.0832,,,0.5217,-0.3133,-0.5392,,-0.5098,0.0541,1.2071
1154605,mobile,Linux,-1.944,-1.2622,-2.2399,0.6592,-1.1353,-0.5617,0.2713,,,-0.4067,1.5575
1018147,mobile,SM-G973F,-0.3288,-0.4034,1.0081,,,,-0.9386,,,-0.4682,
1004821,mobile,Huawei,1.4016,,1.2976,,,,3.2588,-0.1709,0.3156,,
1071466,mobile,Xiaomi,,-0.803,0.8722,-1.8221,,1.0498,0.1165,-1.9973,,,
1052250,mobile,Windows,,-2.5713,-1.4456,,-1.0729,1.2116,,,,-1.6092,-1.207
1137707,mobile,Windows,1.0036,0.5729,-0.1114,,0.6106,,1.3177,-0.635,-0.8831,0.3233,
1120872,mobile,,0.1223,-0.668,-1.1941,-1.5555,,,0.5031,1.5308,-1.0164,-0.8637,
1029733,desktop,Infinix,-0.5929,-2.4374,,,-1.5445,-0.0709,0.2496,,-2.5763,,
1051078,mobile,Xiaomi,,-0.1445,,0.7334,-1.7028,,,0.1792,,-1.2387,
1053601,mobile,Tecno,,-0.0349,-0.4045,,1.1027,1.6663,0.6399,,2.5904,-1.4925,0.3924
1115062,mobile,SM-G973F,-1.8637,-0.2386,-0.3619,-0.4725,0.3222,,,1.0822,0.3458,1.09,-0.9558
1071295,mobile,Windows,-0.036,,,,-1.9205,,-0.7886,-0.2004,-0.7137,,0.1001
1096959,mobile,Linux,1.3838,-0.1696,0.5218,,0.6595,1.2565,,,,0.0926,-0.6211
1054350,mobile,Infinix,-0.6709,-0.1305,,-0.7076,-0.6979,-0.3872,0.3515,-1.2578,0.0458,-0.0187,
1157207,mobile,,,-0.6972,2.0254,0.6766,-1.5219,,,,,-0.2506,-1.5439
1087756,mobile,iOS Device,-0.5733,,0.5356,-2.0439,0.3959,,,,1.8644,0.7514,
1036406,mobile,Infinix,-1.4736,1.0337,,0.3638,1.6387,0.6712,,-0.7033,1.5774,-0.046,0.7329
1028448,mobile,Infinix,-0.7875,,-0.6805,-0.1158,-0.6254,0.5385,-0.2578,,,-0.466,2.016
1042566,mobile,Xiaomi,-0.5831,,,-0.1634,1.2845,0.9449,,,-1.2171,0.2301,
1031357,desktop,Linux,-0.0094,,0.7452,1.2324,0.3242,0.5793,,0.4209,0.3196,,-0.7047
1137634,mobile,Infinix,-0.7278,-2.1564,,,,0.5661,1.9653,0.9689,-0.1287,,-0.3466
1065628,mobile,samsung,0.3011,0.6482,-1.182,1.1546,-0.9745,1.0661,,-0.0695,,,1.4482
1156863,mobile,SM-G973F,-0.7939,2.1849,,0.6476,2.606,-0.9403,-0.7863,,1.355,,-0.2665
1058124,mobile,,1.0214,-0.773,,1.7544,-1.3834,,,0.027,-2.8095,-0.0867,
1111454,mobile,SM-G973F,0.3969,1.3319,-0.7083,-1.3255,0.3659,-0.9622,,1.1842,,,
1080245,mobile,rv:11.0,-2.0034,,-0.5892,0.8086,-0.1275,,-0.8288,1.5448,0.0599,,
1122310,mobile,Tecno,0.3688,-0.4622,0.245,-0.2121,,,,-0.5791,,,2.2131
1154827,mobile,Windows,-1.2711,0.9803,1.6085,-1.6468,,0.8961,1.1032,,-2.0783,2.0646,
1014039,desktop,Tecno,0.3675,,,-0.8815,0.6108,-1.137,,0.8979,-0.0493,-1.0703,
1012818,mobile,Linux,0.0464,0.3126,-0.7658,,,-0.4473,-2.192,-0.0808,,,
1145377,desktop,Linux,,0.491,-1.1584,-0.4071,,-0.7385,,0.4223,,,
1149164,mobile,iOS Device,2.2124,0.2782,,-0.733,-1.0074,-1.958,,,-0.1621,,0.8992
1085610,desktop,Windows,,-0.8253,-0.6364,-1.9252,-0.1222,-0.7202,,-2.6051,,,-0.9989
1035574,mobile,Tecno,-0.3424,-0.7343,,0.3738,-1.3242,-0.5467,,,,-2.221,
1036759,mobile,samsung,0.4167,,-0.4242,0.0106,,0.1438,-1.1334,1.2134,0.8542,0.5254,-0.3476
1067059,mobile,Trident/7.0,,,-0.3187,-0.1081,,1.271,0.3307,0.6184,-0.3777,,
1028856,mobile,Huawei,,,-0.2104,-1.9545,0.5497,0.8058,-0.7114,-0.0856,,,
1084743,mobile,Pixel,1.714,,,0.4631,0.1562,,,0.199,-1.147,0.5056,-0.447
1008639,mobile,samsung,-0.3517,1.0345,-0.5333,0.8179,-1.6104,-0.3938,,0.2063,,-0.6209,-0.8154
1021926,mobile,samsung,,,0.0859,0.8987,0.6826,-1.2312,-0.5929,,,-0.126,
1107264,desktop,Xiaomi,0.6948,1.1474,0.0703,,-1.0033,,3.6831,1.4076,-0.4123,1.0839,
1003902,desktop,Trident/7.0,-0.3245,2.0674,1.7645,,1.0743,,-0.4922,,,-0.3959,0.8753
1060148,mobile,Xiaomi,-1.8677,-0.2313,-0.3941,,0.1051,,0.928,,-0.2835,-0.6594,
1142355,mobile,Huawei,1.1051,-0.1811,-1.0028,-0.3856,-0.3455,,0.7399,0.617,-0.4809,,
1132101,mobile,rv:11.0,2.1113,-0.7019,0.3005,-1.6711,-1.5605,-1.2291,0.4275,-0.2181,,-0.6589,-0.2589
1095461,mobile,iOS Device,-0.123,,-0.115,,,,-0.457,-0.9581,-0.3009,,0.5993
1151388,mobile,Infinix,-0.443,2.6238,0.0527,0.302,-0.1508,-0.4771,0.6559,0.5134,,-0.0322,
1043790,mobile,MacOS,0.1502,-1.6137,-0.1523,-0.0689,0.6178,,,-0.8013,,,0.2785
1150496,mobile,SM-G973F,1.2527,1.862,,0.9677,,,,-1.8299,,-1.2858,-0.9082
1001382,mobile,iOS Device,0.0287,,1.6145,0.4676,3.3464,-0.8516,-0.5598,-3.1039,0.7388,0.8977,
1076051,mobile,iOS Device,0.9888,-0.7999,,0.3077,1.1809,1.036,1.5367,,-0.968,-0.4535,
1130921,desktop,Tecno,-0.8173,2.7927,0.0312,1.0943,,,1.2918,-0.6083,-0.5561,,-1.1904
1005652,desktop,MacOS,,-0.3943,0.7288,,1.5318,,-0.9567,0.3434,-0.1114,-0.9158,
1127577,mobile,iOS Device,,0.5933,0.6793,,,1.0193,-0.9399,,0.2254,,
1071165,mobile,rv:11.0,-0.0949,0.3697,-0.4472,-0.1901,1.0385,-0.0451,,0.4462,-0.172,0.3145,-0.023
1109961,mobile,rv:11.0,-0.3164,-0.1689,1.0388,-0.3613,,-2.2766,,-0.6676,,,
1061769,mobile,,,-0.5099,2.3449,,,0.2318,1.0281,-0.6986,,-0.2631,
1066820,mobile,Infinix,-0.0095,1.8229,-1.5257,,0.838,,,1.6029,0.8149,0.0133,-0.5063
1084022,mobile,Infinix,,1.3572,0.0744,,1.3558,-1.6093,0.5733,0.1308,,,
1081073,mobile,Infinix,-0.7089,0.0546,0.7385,1.0422,,1.3885,-0.6525,1.0839,2.4839,-0.6455,
1013659,mobile,Xiaomi,-0.1524,-1.1134,0.0817,-1.2784,,1.8397,,-1.6807,-2.0173,0.4808,2.2536
1127950,mobile,Infinix,-1.8334,-0.4753,-0.0514,0.3808,0.881,,0.5664,0.0126,0.8852,0.0749,0.0303
1155379,desktop,Pixel,1.4212,1.0755,-1.4053,-0.5952,1.9061,,,,,,0.3312
1138329,mobile,Tecno,,,,0.6899,,2.5922,,-0.5595,,,1.484
1155622,mobile,,,,,0.9984,,0.835,1.289,,0.0224,0.6938,
1002262,mobile,Pixel,,-0.3927,-0.4149,1.7366,,0.2199,-0.2841,0.6182,,1.8585,
1004744,mobile,Xiaomi,-1.7064,2.2404,1.189,-1.6985,-0.2175,,0.5762,-1.9917,-0.3043,0.5375,0.2138
1143271,mobile,Huawei,0.4401,0.7412,,,0.4199,-0.5886,,0.1083,,-0.8641,0.9033
1007892,mobile,,-0.1736,0.4089,-0.9237,,-0.7275,-0.6703,,,-0.0161,-1.5799,
1039025,mobile,MacOS,-0.0845,-1.8293,0.1962,-2.0402,-1.4761,-1.5861,-0.7516,-0.6718,,-0.5331,
1020653,mobile,Windows,,0.56,2.1445,,1.4057,,-1.303,0.7778,,,1.6343
1013987,mobile,,0.9459,,0.0903,0.1019,,,1.7245,,1.5398,,
1116806,mobile,rv:11.0,-0.9164,1.8126,-0.1373,0.0795,1.4168,,1.6761,1.4777,0.8314,,
1045811,mobile,rv:11.0,-1.399,,,,-0.8315,,,,-2.0164,,-0.549
1125391,mobile,Trident/7.0,,0.9528,-0.593,,0.4212,0.3428,-0.2558,-0.2806,2.899,,
1042756,mobile,iOS Device,,,-0.9625,0.7941,,-1.065,,,,-1.5746,-0.0448
1070222,mobile,,-0.9132,-0.7189,-0.0351,-0.2521,,-0.9993,-0.3532,,,-1.5462,0.7779
1157877,mobile,iOS Device,0.0555,0.7837,,1.4194,,-1.8563,,-1.3488,,,-0.7426
1106574,mobile,Trident/7.0,,,-0.271,-0.0605,0.4808,0.7547,0.7742,,,0.5162,
1095411,desktop,Pixel,1.1605,-0.5081,-0.7134,,-0.1487,,-0.3816,-1.2157,,0.4562,-0.3477
1039353,desktop,samsung,,-2.0063,,,-1.1753,-0.5616,,0.6769,-0.3774,,
1029119,mobile,Infinix,0.2156,0.4906,1.1812,-0.2917,-0.4769,-0.2562,,,,0.8439,0.362
1034688,mobile,Pixel,1.6261,-0.1773,-0.243,,0.7235,,0.7183,,,-0.5913,
1126408,mobile,Infinix,-0.8812,-0.1076,,-0.2638,-1.0487,-0.3337,0.64,,,-0.3367,
1118844,mobile,samsung,0.084,-0.1819,,0.9218,1.9172,,-2.0337,1.4978,,-0.0231,-0.4912
1096351,mobile,SM-G973F,-0.112,0.4242,0.3982,,,,,-0.6082,,,
1095753,mobile,Windows,-0.6903,0.7977,,-0.7357,,0.2637,2.4941,0.0974,0.6865,,
1000421,mobile,Windows,0.2901,-1.9666,0.0846,0.2904,0.4796,0.2075,-1.4686,,,-1.6132,1.4723
1061754,mobile,Pixel,1.1269,,0.9826,1.3873,,-0.3674,0.304,,-0.4187,,0.3344
1142507,desktop,Trident/7.0,-0.0388,0.7151,,0.921,,,1.5153,,1.1221,-0.8436,0.7482
1121019,mobile,samsung,-0.3894,1.6172,,-0.2936,0.0878,0.553,-1.5493,-2.1433,,,0.617
1127458,mobile,Linux,,-1.6826,,,0.022,0.6237,,1.1603,0.6184,1.1068,
1044833,mobile,Xiaomi,0.469,-0.1552,0.354,0.4968,-1.2986,-0.579,0.5507,,-1.0288,-1.0169,0.1076
1013259,mobile,Windows,-0.1953,1.2431,0.482,-1.739,-0.5896,0.5888,,-0.6375,,,
1154000,desktop,Trident/7.0,,,-0.6594,-0.7459,,1.827,,,,,
1091943,mobile,,,2.1989,2.0102,1.0713,1.3491,-0.4319,-0.9899,,,1.6653,-1.3651
1048373,mobile,,0.3955,0.208,-0.2589,0.5838,,0.6614,,,,,
1147595,mobile,SM-G973F,-0.932,0.4925,0.3741,,-0.1431,,-0.6182,-2.4475,,0.5609,
1061403,mobile,iOS Device,-1.1523,,1.4503,,,1.4377,,-0.1476,-1.6532,0.2509,0.1235
1075210,mobile,iOS Device,0.7922,,-0.0182,,1.5176,-0.5374,-0.3644,,,,1.5715
1159751,mobile,Trident/7.0,1.3115,1.6158,,-0.7642,-0.6974,,,0.3804,,-1.1255,
1027732,mobile,iOS Device,-1.6793,,,,-0.7105,,,,-0.9649,0.0614,0.7503
1078481,mobile,MacOS,,1.46,-0.7707,0.1189,,-0.0893,,,0.3957,0.5584,-0.8632
1091671,mobile,samsung,1.015,-1.2806,0.0339,,-2.3991,,-0.072,,,,-1.5328
1057706,mobile,,,-1.5878,0.5274,,-0.0263,1.8783,,,,1.5053,-1.5899
1147428,mobile,Pixel,-0.1444,-3.2561,1.5211,,,,1.3618,-0.5447,-1.8228,,-0.2079
1053990,mobile,Tecno,0.4336,,-0.7292,,1.2616,0.6964,-0.2086,0.1693,,,-0.1256
1096396,mobile,Tecno,,2.5906,0.9045,,,-0.9484,1.7551,,-1.6912,-0.3802,-1.1741
1073340,desktop,Trident/7.0,-1.1498,0.541,0.5515,,,,,-0.1014,-0.8885,,
1110044,mobile,Trident/7.0,-0.3886,0.0072,0.9564,0.8433,,0.8454,-0.7015,,,,
1146952,desktop,Trident/7.0,,-0.5394,,0.4947,-2.1388,,-1.862,1.2248,-0.8281,,
1137375,mobile,Pixel,,-1.5468,-0.3748,,0.2288,,,1.3084,0.9308,,0.8357
1096540,desktop,,-0.3324,1.5263,-1.1776,0.1213,,1.8224,,,1.0271,,
1014520,mobile,Pixel,1.051,,,1.3879,0.5392,,0.1457,-1.0157,-0.8585,1.787,0.3014
1114997,mobile,Xiaomi,-1.0714,0.315,-0.4951,,-0.3369,,-0.1042,,1.7471,-1.0084,-0.533
1008767,mobile,,0.6768,0.3222,,-1.3116,-1.2968,,-0.5984,-0.5141,-0.5814,1.1888,
1052891,mobile,samsung,-0.6934,-0.4984,0.5196,-2.1644,-0.3144,0.03,0.1936,,-0.8667,0.2891,
1102562,mobile,Xiaomi,,0.5151,-1.4987,-0.3825,-1.241,-1.4151,-0.6912,,,-0.7848,
1030405,mobile,Trident/7.0,-0.6792,,0.6962,,,-0.6923,,,,-1.5938,0.4637
1064252,mobile,Xiaomi,-0.0212,-0.1799,,,0.8278,,0.6711,,,2.0727,0.9578
1094359,mobile,Huawei,-1.3285,-1.349,0.0368,0.3799,,0.3075,1.2044,,2.1843,,-1.0029
1057088,desktop,Pixel,1.1416,,0.2911,-1.7155,0.9858,,,0.4845,,,
1061959,desktop,Linux,-0.6826,-0.843,-1.3991,,-2.4479,-0.4666,1.3478,,,-1.0183,
1016296,mobile,iOS Device,0.3531,,1.9054,0.665,-1.1393,-0.4327,,-1.3918,,,
1080958,mobile,iOS Device,0.5069,0.418,0.1636,0.1848,,,-0.9731,-0.7644,,,-1.0678
1022321,mobile,samsung,-0.8253,-1.278,,2.1218,,-0.3253,,0.9613,,,
